DISTINCT(name)
Abu Dhabi Amiri Flight
Aegean Airlines
Aer Lingus
AeroMéxico
Aeroflot Russian Airlines
Aeroflot-Nord
Aerolane
Aerolineas Argentinas
Air Astana
Air Baltic
Air Berlin
Air Canada
Air Caraïbes
Air China
Air Europa
Air France
Air India Limited
Air Italy
Air Macau
Air Madagascar
Air Malta
Air Mauritius
Air New Zealand
Air One
Air Pacific
Air Philippines
Air Rarotonga
Air Sahara
Air Seychelles
Air Tahiti Nui
Air Transat
Air Vanuatu
AirTran Airways
Alaska Airlines
Alitalia
All Nippon Airways
American Airlines
Arik Air
Asiana Airlines
Atlantis European Airways
Austrian Airlines
Avianca - Aerovias Nacionales de Colombia
Azerbaijan Airlines
Azul
Bangkok Airways
Belavia Belarusian Airlines
Binter Canarias
British Airways
Brussels Airlines
Canadian North
Cape Air
Cathay Pacific
China Airlines
China Eastern Airlines
China Southern Airlines
Condor Flugdienst
Copa Airlines
Corsairfly
Croatia Airlines
Cubana de Aviación
Cyprus Airways
Czech Airlines
Delta Air Lines
Dragonair
EVA Air
Eastern Airways
Egyptair
Emirates
Era Alaska
Ethiopian Airlines
Etihad Airways
Finnair
First Air
Flybaboo
Flybe
Frontier Airlines
Garuda Indonesia
Golden Air
Grupo TACA
Gulf Air Bahrain
Hainan Airlines
Hawaiian Airlines
Iberia Airlines
Japan Airlines
Jet Airways
KLM Royal Dutch Airlines
Kenmore Air
Kenya Airways
Korean Air
L
LACSA
LAN Airlines
LAN Argentina
LOT Polish Airlines
Lao Airlines
Lion Mentari Airlines
Lufthansa
Luxair
Maastricht Airlines
Malaysia Airlines
Malmö Aviation
Mandarin Airlines
Meridiana
Middle East Airlines
Nas Air
Norwegian Air Shuttle
Olympic Airlines
Oman Air
Pacific Wings
Philippine Airlines
Qantas
Qatar Airways
Royal Air Maroc
Royal Jordanian
Rwandair Express
S7 Airlines
SATA International
Saudi Arabian Airlines
Scandinavian Airlines System
Shandong Airlines
Shanghai Airlines
Shenzhen Airlines
Singapore Airlines
South African Airways
Southwest Airlines
SriLankan Airlines
Swiss International Air Lines
TAM Brazilian Airlines
TAP Portugal
Tarom
Thai Airways International
TransAsia Airways
TransHolding System
Transaero Airlines
Turkish Airlines
US Airways
Ukraine International Airlines
Uni Air
United Airlines
Uzbekistan Airways
Vietnam Airlines
Virgin Atlantic Airways
Virgin Australia
WestJet
Yemenia
ZABAIKAL AIRLINES
